"薬品マスタ","2026/03/04"
"PK","","TZMYAKUHINMEISHO","TZMYAKUHIN","TZMYAKUHINBETSUKIHONJOHOKUBUN","","TZMYAKUKA","TZMYAKUHINMEISHO","TZMYAKUHIN","","TZMYAKUHINBETSUKIHONJOHOKUBUN",""
"YAKUHIN_CODE","","YAKUHIN_NM","HOST_CODE","SAIYO_DIV","","YAKKA","YAKUHIN_NM_KANA","ZAIKEI_CODE","","DOKUGEKIYAKU_DIV",""
"コード(区分値)","コード","名称","ホストコード","採用区分（区分値）(区分値)","採用区分（区分値）","薬価","カナ名称","剤形(区分値)","剤形","毒劇薬（区分値）(区分値)","毒劇薬（区分値）"
"ｱﾐﾉ001","ｱﾐﾉ001","アミノレバンＥＮ配合散","ｱﾐﾉﾚ1*","1","","8.88000","ｱﾐﾉﾚﾊﾞﾝENﾊｲｺﾞｳｻﾝ","003","散","0",""
"ｱﾐﾉ002","ｱﾐﾉ002","アミノレバン点滴静注（用時購入）","","2","","715.00000","ｱﾐﾉﾚﾊﾞﾝﾃﾝﾃｷｼﾞﾖｳﾁﾕｳ","025","注射剤","0",""
"ｱﾑﾛ001","ｱﾑﾛ001","アムロジピンＯＤ錠２．５ｍｇ「あすか」","ｱﾑﾛOD","0","","10.40000","ｱﾑﾛｼﾞﾋﾟﾝODｼﾞｮｳ2.5mg｢ｱｽｶ｣","001","錠剤","2",""
"ｱﾑﾛ002","ｱﾑﾛ002","アムロジピンＯＤ錠２．５ｍｇ「明治」","","1","","10.40000","ｱﾑﾛｼﾞﾋﾟﾝODｼﾞﾖｳ2.5MGﾒｲｼﾞ","001","錠剤","2",""
"ｱﾗﾐ001","ｱﾗﾐ001","アラミスト点鼻液２７．５μｇ５６噴霧用","ｱﾗﾐ","0","","915.10000","ｱﾗﾐｽﾄﾃﾝﾋﾞｴｷ27.5μg56ﾌﾝﾑﾖｳ","023","点鼻薬","0",""
"ｱﾘｾ001","ｱﾘｾ001","アリセプトＤ錠５ｍｇ","ｱﾘｾ","0","","76.10000","ｱﾘｾﾌﾟﾄDｼﾞｮｳ5mg","001","錠剤","2",""
"ｱﾘﾄ001","ｱﾘﾄ001","アリドネパッチ２７．５ｍｇ","","1","","286.40000","ｱﾘﾄﾞﾈﾊﾟﾂﾁ27.5MG","019","貼付剤","2",""
"ｱﾘﾄ002","ｱﾘﾄ002","アリドネパッチ５５ｍｇ","","1","","437.60000","ｱﾘﾄﾞﾈﾊﾟﾂﾁ55MG","019","貼付剤","2",""
"ｱﾘﾅ001","ｱﾘﾅ001","２５ｍｇアリナミンＦ糖衣錠","ｱﾘF**","1","","6.10000","25mgｱﾘﾅﾐﾝFﾄｳｲｼﾞｮｳ","001","錠剤","0",""
"ｱﾘﾋ001","ｱﾘﾋ001","アリピプラゾールＯＤ錠３ｍｇ「ヨシトミ」","ｱﾘﾋﾟ1","0","","7.10000","ｱﾘﾋﾟﾌﾟﾗｿﾞｰﾙODｼﾞｮｳ3mg｢ﾖｼﾄﾐ｣","001","錠剤","2",""
"ｱﾘﾋ002","ｱﾘﾋ002","アリピプラゾール内用液分包３ｍｇ「ニプロ」","ｱﾘﾋﾟ5","0","","31.70000","ｱﾘﾋﾟﾌﾟﾗｿﾞｰﾙﾅｲﾖｳｴｷﾌﾞﾝﾎﾟｳ3mg｢ﾆﾌﾟﾛ｣","007","液（内用）","2",""
"ｱﾘﾋ003","ｱﾘﾋ003","アリピプラゾール内用液分包６ｍｇ「ニプロ」","ｱﾘﾋﾟ4","0","","65.80000","ｱﾘﾋﾟﾌﾟﾗｿﾞｰﾙﾅｲﾖｳｴｷﾌﾞﾝﾎﾟｳ6mg｢ﾆﾌﾟﾛ｣","007","液（内用）","2",""
"ｱﾘﾋ004","ｱﾘﾋ004","アリピプラゾールＯＤ錠６ｍｇ「ヨシトミ」","ｱﾘﾋﾟ6","0","","13.10000","ｱﾘﾋﾟﾌﾟﾗｿﾞｰﾙODｼﾞｮｳ6mg｢ﾖｼﾄﾐ｣","001","錠剤","2",""
"ｱﾘﾋ005","ｱﾘﾋ005","アリピプラゾール散１％「ヨシトミ」","ｱﾘﾋﾟ3","0","","20.60000","ｱﾘﾋﾟﾌﾟﾗｿﾞｰﾙｻﾝ1%｢ﾖｼﾄﾐ｣","003","散","2",""
"ｱﾘﾋ006","ｱﾘﾋ006","アリピプラゾールＯＤ錠１２ｍｇ「ヨシトミ」","ｱﾘﾋﾟ2","0","","25.30000","ｱﾘﾋﾟﾌﾟﾗｿﾞｰﾙODｼﾞｮｳ12mg｢ﾖｼﾄﾐ｣","001","錠剤","2",""
"ｱﾘﾋ007","ｱﾘﾋ007","アリピプラゾールＯＤ錠３ｍｇ「ニプロ」","","1","","6.40000","ｱﾘﾋﾟﾌﾟﾗｿﾞ-ﾙODｼﾞﾖｳ3MGﾆﾌﾟﾛ","001","錠剤","2",""
"ｱﾘﾋ008","ｱﾘﾋ008","アリピプラゾールＯＤ錠１２ｍｇ「ニプロ」","","1","","22.70000","ｱﾘﾋﾟﾌﾟﾗｿﾞ-ﾙODｼﾞﾖｳ12MGﾆﾌﾟﾛ","001","錠剤","2",""
"ｱﾘﾋ009","ｱﾘﾋ009","アリピプラゾールＯＤ錠６ｍｇ「ニプロ」","","1","","11.80000","ｱﾘﾋﾟﾌﾟﾗｿﾞ-ﾙODｼﾞﾖｳ6MGﾆﾌﾟﾛ","001","錠剤","2",""
"ｱﾘﾋ010","ｱﾘﾋ010","アリピプラゾール散１％「ニプロ」","","1","","18.60000","ｱﾘﾋﾟﾌﾟﾗｿﾞ-ﾙｻﾝ1%ﾆﾌﾟﾛ","003","散","2",""
"ｱﾘﾋ011","ｱﾘﾋ011","アリピプラゾール錠１ｍｇ「サワイ」","","1","","6.10000","ｱﾘﾋﾟﾌﾟﾗｿﾞ-ﾙｼﾞﾖｳ1MGｻﾜｲ","001","錠剤","2",""
"ｱﾙｻ001","ｱﾙｻ001","アルサルミン液","","0","","0","ｱﾙｻﾙﾐﾝｴｷ","007","液（内用）","0",""
"ｱﾙﾀ001","ｱﾙﾀ001","アルダクトンＡ錠２５ｍｇ","ｱﾙﾀﾞ","1","","13.10000","ｱﾙﾀﾞｸﾄﾝAｼﾞｮｳ25mg","001","錠剤","0",""
"ｱﾙﾌ001","ｱﾙﾌ001","アルファカルシドールカプセル０．５μｇ「サワイ」","ｱﾙﾌ","0","","6.10000","ｱﾙﾌｧｶﾙｼﾄﾞｰﾙｶﾌﾟｾﾙ0.5μg｢ｻﾜｲ｣","002","カプセル","2",""
"ｱﾙﾌ002","ｱﾙﾌ002","アルブミナー２５％静注１２．５ｇ／５０ｍＬ","ｱﾙﾌﾞ","1","","4436.00000","ｱﾙﾌﾞﾐﾅｰ25%ｼﾞｮｳﾁｭｳ12.5g/50mL","025","注射剤","0",""
"ｱﾙﾌ003","ｱﾙﾌ003","アルファカルシドールカプセル０．５μｇ「フソー」","","1","","6.10000","ｱﾙﾌｱｶﾙｼﾄﾞ-ﾙｶﾌﾟｾﾙ0.5ﾏｲｸﾛGﾌｿ-","002","カプセル","2",""
"ｱﾙﾒ001","ｱﾙﾒ001","アルメタ軟膏","ｱﾙﾒ","0","","20.60000","ｱﾙﾒﾀﾅﾝｺｳ","014","軟膏","0",""
"ｱﾚｷ001","ｱﾚｷ001","アレギサール点眼液０．１％","ｱﾚｷﾞｻｰ","0","","421.80000","ｱﾚｷﾞｻｰﾙﾃﾝｶﾞﾝｴｷ0.1%","021","点眼剤","0",""
"ｱﾚﾋ001","ｱﾚﾋ001","アレビアチン散１０％","ｱﾚﾋﾞｱﾁ","1","","12.10000","ｱﾚﾋﾞｱﾁﾝｻﾝ10%","003","散","2",""
"ｱﾚﾋ002","ｱﾚﾋ002","アレビアチン注２５０ｍｇ","ｱﾚﾋﾞｱ","1","","123.00000","ｱﾚﾋﾞｱﾁﾝﾁﾕｳ250MG","025","注射剤","2",""
"ｱﾚﾝ001","ｱﾚﾝ001","アレンドロン酸点滴静注バッグ９００μｇ「ＨＫ」","ｱﾚﾝ","0","","1182.00000","ｱﾚﾝﾄﾞﾛﾝｻﾝﾃﾝﾃｷｼﾞｮｳﾁｭｳﾊﾞｯｸﾞ900μg｢HK｣","025","注射剤","2",""
"ｱﾛﾌ001","ｱﾛﾌ001","アロプリノール錠１００ｍｇ「サワイ」","ｱﾛﾌﾟ","1","","8.00000","ｱﾛﾌﾟﾘﾉｰﾙｼﾞｮｳ100mg｢ｻﾜｲ｣","001","錠剤","0",""
"ｱﾝﾃ001","ｱﾝﾃ001","アンテベート軟膏０．０５％","ｱﾝﾃ","0","","18.90000","ｱﾝﾃﾍﾞｰﾄﾅﾝｺｳ0.05%","014","軟膏","2",""
"ｱﾝﾋ001","ｱﾝﾋ001","アンヒバ坐剤小児用２００ｍｇ","ｱﾝﾋ","0","","20.90000","ｱﾝﾋﾊﾞｻﾞｻﾞｲｼｮｳﾆﾖｳ200mg","012","坐剤","0",""
"ｲｸｻ001","ｲｸｻ001","イグザレルト錠１０ｍｇ","ｲｸﾞｻﾞﾚ","0","","331.60000","ｲｸﾞｻﾞﾚﾙﾄｼﾞｮｳ10mg","001","錠剤","0",""
"ｲｸｻ002","ｲｸｻ002","イグザレルトＯＤ錠１０ｍｇ","","0","","331.60000","ｲｸﾞｻﾞﾚﾙﾄODｼﾞﾖｳ10MG","001","錠剤","0",""
"ｲｹﾌ001","ｲｹﾌ001","イーケプラ錠２５０ｍｇ","ｲｰｹﾌﾟ","0","","69.30000","ｲｰｹﾌﾟﾗｼﾞｮｳ250mg","001","錠剤","0",""
"ｲｹﾌ002","ｲｹﾌ002","イーケプラドライシロップ５０％","ｲｰｹﾌﾟD","0","","133.10000","ｲｰｹﾌﾟﾗﾄﾞﾗｲｼﾛｯﾌﾟ50%","003","散","0",""
"ｲｹﾌ003","ｲｹﾌ003","イーケプラ点滴静注５００ｍｇ","ｲｰｹﾌﾟﾗ","0","","1271.00000","ｲｰｹﾌﾟﾗﾃﾝﾃｷｼﾞｮｳﾁｭｳ500mg","025","注射剤","0",""
"ｲｺｻ001","ｲｺｻ001","イコサペント酸エチルカプセル３００ｍｇ「日医工」","ｲｺｻ","1","","12.50000","ｲｺｻﾍﾟﾝﾄｻﾝｴﾁﾙｶﾌﾟｾﾙ300mg｢ﾆﾁｲｺｳ｣","002","カプセル","0",""
"ｲｻﾝ001","ｲｻﾝ001","胃散(院内製剤)","ｲｻﾝ","1","","0","ｲｻﾝ(院ﾅｲｾｲｻﾞｲ)","003","散","0",""
"ｲｽｺ001","ｲｽｺ001","イスコチン錠１００ｍｇ","ｲｽｺ2","0","","10.10000","ｲｽｺﾁﾝｼﾞｮｳ100mg","001","錠剤","0",""
"ｲｽｺ002","ｲｽｺ002","イスコチン注１００ｍｇ","ｲｽｺ","0","","100.00000","ｲｽｺﾁﾝﾁｭｳ100mg","025","注射剤","0",""
"ｲﾉｿ001","ｲﾉｿ001","イノソリッド配合経腸用半固形剤","","2","","1.44000","ｲﾉｿﾘﾂﾄﾞﾊｲｺﾞｳｹｲﾁﾖｳﾖｳﾊﾝｺｹｲｻﾞｲ","024","その他","0",""
"ｲﾉﾗ001","ｲﾉﾗ001","イノラス配合経腸用液","","0","","1.41000","ｲﾉﾗｽﾊｲｺﾞｳｹｲﾁﾖｳﾖｳｴｷ","007","液（内用）","0",""
"ｲﾊﾝ001","ｲﾊﾝ001","イバンドロン酸静注１ｍｇシリンジ「トーワ」","ｲﾊﾞﾝ","1","","1588.00000","ｲﾊﾞﾝﾄﾞﾛﾝｻﾝｼﾞｮｳﾁｭｳ1mgｼﾘﾝｼﾞ｢ﾄｰﾜ｣","025","注射剤","2",""
"ｲﾋｴ001","ｲﾋｴ001","ＥＰＬカプセル２５０ｍｇ","EPL**","1","","6.10000","EPLｶﾌﾟｾﾙ250mg","002","カプセル","0",""
